MUN,NOM_MUN,POBTOT,cluster,perfil,p_aguadv,p_drenaj,p_c_elec,p_inter,p_cel,p_autom,GRAPROES,PROM_OCUP
79,Soyaniquilpan de Juárez,14323,2,intermedio,0.9430523917995444,0.8400404960769425,0.982282966337636,0.2396861554036952,0.8633257403189066,0.5208807896735004,9.07,3.61
80,Sultepec,24145,1,bajo,0.9491497975708502,0.8395141700404858,0.9818623481781376,0.1350607287449392,0.7588663967611337,0.3091497975708502,7.13,3.88
81,Tecámac,547503,0,alto,0.9904201025591056,0.9971132413305888,0.9991047393999928,0.6506961107930669,0.9396399468933848,0.4912849121182962,10.99,3.33
82,Tejupilco,79282,2,intermedio,0.90559564054695,0.9173520359251224,0.992128765326202,0.3070286089106413,0.8534739391493011,0.36762702457238,8.56,3.98
83,Temamatla,14130,2,intermedio,0.922105828632823,0.9709911361804996,0.9849583669084072,0.448562986838571,0.8869191512221327,0.3489121676067687,9.82,3.79
84,Temascalapa,43593,2,intermedio,0.9397715472481828,0.9817410868812738,0.9943752163378332,0.2849601938386985,0.8627552786431291,0.3721876081689166,9.13,3.76
85,Temascalcingo,66414,2,intermedio,0.972574205867037,0.8736330498177399,0.9898744430943702,0.2820112249030839,0.7786263958803449,0.3719261702250767,8.04,3.84
86,Temascaltepec,35014,1,bajo,0.9664655372476212,0.8245532606173126,0.9852634021814808,0.166395915525644,0.6812485495474588,0.3665583662102576,7.85,4.04
87,Temoaya,105766,2,intermedio,0.989562107539402,0.9526344242525056,0.991142346238616,0.2799933463633717,0.7971888385245561,0.3821266686073107,8.27,4.39
88,Tenancingo,104677,2,intermedio,0.9603983688833124,0.9611825595984944,0.9940009410288582,0.4157387076537013,0.8212045169385195,0.3649231493099121,9.25,4.04
89,Tenango del Aire,11359,0,alto,0.9867411025819958,0.9898813677599442,0.9947662247034194,0.4030006978367062,0.9089323098394976,0.3520586182833217,9.79,3.95
90,Tenango del Valle,90518,2,intermedio,0.9809162117256112,0.9699026821742226,0.992594350818894,0.3568953239971517,0.8042250178020413,0.3921196297175409,9.07,4.25
91,Teoloyucan,65459,0,alto,0.9881950916433676,0.9637775706741224,0.9963963963963964,0.4790307548928239,0.8599565082323704,0.4044734389561976,9.67,4.05
